text,label,fold,clean_text
"My $200 Gucci sunglasses were stolen out of my bag on the 16th. I filed a report with the hotel security and am anxious to hear back from them. This was such a disappointment, as we liked the hotel and were having a great time in Chicago. Our room was really nice, with 2 bathrooms. We had 2 double beds and a comfortable hideaway bed. We had a great view of the lake and park. The hotel charged us $25 to check in early (10am).",truthful,1,gucci sunglass stolen bag th filed report hotel security anxious hear back disappointment liked hotel great time chicago room really nice bathroom double bed comfortable hideaway bed great view lake park hotel charged u check early
"This was a gorgeous hotel from the outside and in the lobby. However, when we reached the elevator things started to look quite dingy. Our bathrooms in our room had grout that was in need of a deep scrubbing and had an overall appearance of dirty. Wireless internet is available, but that's an additional fee. Are you kidding? Even the roach motel offers wireless for free! Also, the fitness room was available for only $15 per day. Wow, I thought the room rate was enough to cover that. When I used the coffee supplies in the room, they were not replenished. I called the next morning requesting more and was told that wasn't housekeeping's area but they would send some up. No kidding, nearly 90 minutes later I got the cream and sugar! Glad I wasn't in a big hurry. I'll definitely be staying next door for half the cost and a lot better accommodations the next time I'm in Chicago!",truthful,1,gorgeous hotel outside lobby however reached elevator thing started look quite dingy bathroom room grout need deep scrubbing overall appearance dirty wireless internet available thats additional fee kidding even roach motel offer wireless free also fitness room available per day wow thought room rate enough cover used coffee supply room not replenished called next morning requesting told wasnt housekeeping area would send no kidding nearly minute later got cream sugar glad wasnt big hurry ill definitely staying next door half cost lot better accommodation next time im chicago
"The hotel is very impressive upon entering and the staff was very friendly, however we felt our room was very dated and worn looking. Our air conditioning didn't seem to be working well, but we turned it down and thought that it would eventually... cool off. Our first night was interrupted by a phone call at one A.M. That was a fax, it happened 4 times. By this time we realized that the air was not working again, so after fussing with the controls it did kick on. The next morning I mentioned to the concierge the issues with the phone, but didn't think to mention the issues with the air because it appeared to be working. After being out seeing the sites of Chicago for several hours and being very hot we were looking forward to resting in a cool room before going to a show . Our room was 78 degrees, I called and maintenience did come to check. After determining that the unit needed a motor it was another hour so we did not get to rest in a cool room before going out. I feel an offer should have been made to us by the hotel. Also was very surprised that WiFi was not a free service !! We will not be staying at the Hilton on our next trip to Chicago.",truthful,1,hotel impressive upon entering staff friendly however felt room dated worn looking air conditioning didnt seem working well turned thought would eventually cool first night interrupted phone call one fax happened time time realized air not working fussing control kick next morning mentioned concierge issue phone didnt think mention issue air appeared working seeing site chicago several hour hot looking forward resting cool room going show room degree called maintenience come check determining unit needed motor another hour not get rest cool room going feel offer made u hotel also surprised wifi not free service not staying hilton next trip chicago
"Going to the Internet Retailer 2010 at the last minute and this was the only hotel left available with shuttle services. First of all, from reading other reviews, now I know I got ripped @ $249 a night when Priceline folks are sniping these rooms for $79 (albiet, I got free wifi). The hotel is nice; but it can only get so nice for an oldie...no matter how much money you dump into it. Shower head was really low (I'm 6'1""), water pressure was low. It is in a decent part of town with a hype bar close by (check out reviews on Yelp!) For some off reason I ended up with two double beds (they asked me a few times if I was traveling alone). If traveling here: 1 - make sure you get a better deal than I did 2 - confirm your exact needs with reservation over the phone and in person 3 - Don't have super high hopes My room was neither up to par as a business class (although the 22nd floor is called the executive floor) nor was it a good fit for the romantic couple...it wasnt even spacious enough for those last minute get awayers (sp?) trying to save money.",truthful,1,going internet retailer last minute hotel left available shuttle service first reading review know got ripped night priceline folk sniping room albiet got free wifi hotel nice get nice oldieno matter much money dump shower head really low im water pressure low decent part town hype bar close check review yelp reason ended two double bed asked time traveling alone traveling make sure get better deal confirm exact need reservation phone person dont super high hope room neither par business class although nd floor called executive floor good fit romantic coupleit wasnt even spacious enough last minute get awayers sp trying save money
"I checked into this hotel, Rm 1760 on 11/13/2010. Next day, I woke up with bed bug bites, numerous, on my arm and back. We reported this to the management who assiged us to rm 1901 and promised to get the room inspected and ""taken care of"". I insisted that they get all my clothes laundered, which they did. Interestingly, no one from the management, other than the security guy who came when we first complained, even offered any apology for the inconvience. I missed couple of meetings that day. The next day, I called as I forgot something in the previous room, only to discover that the room was already assigned to the next guest. So much for reporting!",truthful,1,checked hotel rm next day woke bed bug bite numerous arm back reported management assiged u rm promised get room inspected taken care insisted get clothes laundered interestingly no one management security guy came first complained even offered apology inconvience missed couple meeting day next day called forgot something previous room discover room already assigned next guest much reporting
"I expected a glamorous room and I walked into a disappointment. Housekeeping and Management must not be concerned with attention to detail at this hotel. If you like staying somewhere that the air in the rooms doesn't go down past 74, the closet is 24"" wide, all old/dirty brass fixtures, beds that are a little bigger than a twin, showerheads that barely put out water, then this is your hotel. I might be spoiled by staying in Marriott's, but I stay in hotels 1/3 of the year and was severly disappionted. No free breakfasts or a room change will get me to stay here again.",truthful,1,expected glamorous room walked disappointment housekeeping management must not concerned attention detail hotel like staying somewhere air room doesnt go past closet wide olddirty brass fixture bed little bigger twin showerhead barely put water hotel might spoiled staying marriotts stay hotel year severly disappionted no free breakfast room change get stay
"I stayed at the Chicago Hilton because it was host to a conference I was attending. Before I arrived I tried to find out about the ""In Room Fitness"" program advertised on the corporate website. I called the 800 reservation number and the client service representative answered that the hotel did have a fitness center. I explained that I was inquiring about the 'In Room Fitness' advertised on their website. She put me on hold and came back a few minutes later and told me that there was no such thing and that I should call the property directly. I did and got the same response. I asked if they could reserve a treadmill for my room. Again, this was a problem. When I arrived at the hotel, no treadmill was available. When I went to tour the fitness room the first night I found that they close at 9pm. When I returned to the center the next day I discovered that they charge $13 per day to use the fitness equipment. The pool, track and locker room are free, but to use the treadmills, etc. you have to pay $13 per day. This charge is not noted anywhere -- not on the website, not in any of the guest service materials in the room. The food for the conference was mediocre, but the one room service meal I had was pretty good. During one of the conference lunch sessions the wait staff made so much noise we couldn't hear the speaker. The HVAC didn't work well in my room and I kept the windows open for most of my three night stay. The beds were comfortable with very nice linens. I tried to get a late checkout, which was offered on a card in my room. The woman who answered the phone would only give me an hour, not the 11-2pm range advertised in my room. The best service I received was from the folks in the Security office. The hotel does not have safes in guest rooms, so I became very friendly with Security office as I locked up my laptop between conference sessions and every other time I couldn't carry it out of the hotel. I visit Chicago at least once a year for personal travel and will continue to stay at the Marriott properties. Only wish I had done so for this visit.",truthful,1,stayed chicago hilton host conference attending arrived tried find room fitness program advertised corporate website called reservation number client service representative answered hotel fitness center explained inquiring room fitness advertised website put hold came back minute later told no thing call property directly got response asked could reserve treadmill room problem arrived hotel no treadmill available went tour fitness room first night found close pm returned center next day discovered charge per day use fitness equipment pool track locker room free use treadmill etc pay per day charge not noted anywhere not website not guest service material room food conference mediocre one room service meal pretty good one conference lunch session wait staff made much noise couldnt hear speaker hvac didnt work well room kept window open three night stay bed comfortable nice linen tried get late checkout offered card room woman answered phone would give hour not pm range advertised room best service received folk security office hotel not safe guest room became friendly security office locked laptop conference session every time couldnt carry hotel visit chicago least year personal travel continue stay marriott property wish done visit
"I stayed there on October 6, 2012. When I pulled the covers of my bed, there was a small dark brown insect the size of a grain of rice, which was either a bed bug or cockroach. I trapped it under a glass (see the attached pictures) and called the front desk. The housecleaning person claimed it was a cockroach. Absolutely horrible service by the hotel management to respond to the problem, failing to follow through on promises they made to me. Setting aside the bug problem, I caution that the windows are quite thin. We could hear a lot of the street noise, which made for a hard night's sleep, not to mention worrying about insects even after changing rooms. For $400 a night after tax, I strongly encourage you to check for alternatives.",truthful,1,stayed october pulled cover bed small dark brown insect size grain rice either bed bug cockroach trapped glass see attached picture called front desk housecleaning person claimed cockroach absolutely horrible service hotel management respond problem failing follow promise made setting aside bug problem caution window quite thin could hear lot street noise made hard night sleep not mention worrying insect even changing room night tax strongly encourage check alternative
"I stayed at the Hilton Chicago last week and was very disappointed. The highlight of the stay was waiting 20 minutes for a bellman to come and get our luggage. Finally, my 72 year old mother, 8 year old son, and myself gave up and dragged it all down to valet parking ourselves - no easy task. The security guard was kind enough to hold the door for me. The valet parking attendants looked over and then ignored us. As far as I could tell, he was just standing there doing nothing. I couldn't let go of the bags without everything falling so I gave my son the parking receipt. The attendant pointed to where our car was parked - no short distance away. My 8 year old had to tell him to pull it up. They should have been ashamed. Less significant, but irritating issues. The pool is part of the Hilton Athletic club. Two lanes are reserved for adults wanting to lap swim. Basically, two adults can take up 2/3rds of the pool while everyone else is consigned to the leftover 1/3rd. This is ridiculous and very family unfriendly. In addition, the pool closes at 9 p.m. What pool closes at 9? We stayed for 3 nights. Not one single additional bar of soap, bottle of shampoo, or coffee stirrers.",truthful,1,stayed hilton chicago last week disappointed highlight stay waiting minute bellman come get luggage finally year old mother year old son gave dragged valet parking no easy task security guard kind enough hold door valet parking attendant looked ignored u far could tell standing nothing couldnt let go bag without everything falling gave son parking receipt attendant pointed car parked no short distance away year old tell pull ashamed less significant irritating issue pool part hilton athletic club two lane reserved adult wanting lap swim basically two adult take rds pool everyone else consigned leftover rd ridiculous family unfriendly addition pool close pm pool close stayed night not one single additional bar soap bottle shampoo coffee stirrer
"I stayed at the Hilton Chicago because I was attending a conference at the hotel. The room was sufficient - had a coffee maker, bed, hangers, tv, etc. That's about where my compliments end: *restaurant rates are outrageous. $21 for a breakfast buffet? $25 to use the gym? $7.50/hr for WiFi!?!?! This is unacceptable when I'm paying $249 per night. Thank goodness the ice was free. *servers in the restaurant and bar were surly, not well-versed in English, and just rude. *computer monitors in rooms are silly and turn on at random times during the night *conference was incredibly cold...everybody was wearing their overcoats the entire time, despite our complaints to management. *fridge in room was not usable. had to store cold items in the ice bucket. *Cable channels just flat out SUCKED. I was soooo bored when I had to spend an hour in my room. If I'm paying that much, at least provide the full 70 channels.",truthful,1,stayed hilton chicago attending conference hotel room sufficient coffee maker bed hanger tv etc thats compliment end restaurant rate outrageous breakfast buffet use gym hr wifi unacceptable im paying per night thank goodness ice free server restaurant bar surly not wellversed english rude computer monitor room silly turn random time night conference incredibly coldeverybody wearing overcoat entire time despite complaint management fridge room not usable store cold item ice bucket cable channel flat sucked soooo bored spend hour room im paying much least provide full channel
